s,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR,CARBON MONOXIDE,SOOT,HYDROGEN,HYDROGEN CYANIDE,HEPTAN_SURROGATE,LUMPED AIR,LUMPED HEPTAN_SURROGATE,LUMPED PRODUCTS
 0.0000000E+000, 5.7322970E+001, 4.3672295E+001, 1.3230930E+001, 3.3877576E-002, 3.8586746E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7322970E+001, 0.0000000E+000, 0.0000000E+000
 1.0003843E+000, 5.7323045E+001, 4.3672295E+001, 1.3230825E+001, 3.3969405E-002, 3.8590996E-001, 5.3574829E-007, 1.6547965E-006, 0.0000000E+000, 0.0000000E+000, 4.3974930E-005, 5.7322516E+001, 4.3974930E-005, 4.8581448E-004
 2.0059884E+000, 5.7323197E+001, 4.3672294E+001, 1.3230556E+001, 3.4204924E-002, 3.8601895E-001, 1.9098132E-006, 5.8989496E-006, 0.0000000E+000, 0.0000000E+000, 1.1486012E-004, 5.7321351E+001, 1.1486012E-004, 1.7318112E-003
 3.0110717E+000, 5.7323347E+001, 4.3672296E+001, 1.3229911E+001, 3.4770718E-002, 3.8628080E-001, 5.2107600E-006, 1.6094773E-005, 0.0000000E+000, 0.0000000E+000, 6.7528322E-005, 5.7318554E+001, 6.7528322E-005, 4.7250970E-003
 4.0050478E+000, 5.7323502E+001, 4.3672299E+001, 1.3229367E+001, 3.5247909E-002, 3.8650167E-001, 7.9947693E-006, 2.4693903E-005, 0.0000000E+000, 0.0000000E+000, 5.2945674E-005, 5.7316199E+001, 5.2945674E-005, 7.2496259E-003
 5.0004411E+000, 5.7323655E+001, 4.3672297E+001, 1.3228790E+001, 3.5753069E-002, 3.8673543E-001, 1.0941982E-005, 3.3797128E-005, 0.0000000E+000, 0.0000000E+000, 3.5873493E-005, 5.7313697E+001, 3.5873493E-005, 9.9221469E-003
 6.0036411E+000, 5.7323815E+001, 4.3672282E+001, 1.3228297E+001, 3.6181113E-002, 3.8693340E-001, 1.3439338E-005, 4.1510856E-005, 0.0000000E+000, 0.0000000E+000, 6.6750373E-005, 5.7311562E+001, 6.6750373E-005, 1.2186740E-002
 7.0106668E+000, 5.7324019E+001, 4.3672282E+001, 1.3227570E+001, 3.6817368E-002, 3.8722784E-001, 1.7151378E-005, 5.2976446E-005, 0.0000000E+000, 0.0000000E+000, 5.1617503E-005, 5.7308415E+001, 5.1617503E-005, 1.5552803E-002
 8.0064268E+000, 5.7324240E+001, 4.3672270E+001, 1.3226894E+001, 3.7406870E-002, 3.8750056E-001, 2.0590700E-005, 6.3599676E-005, 0.0000000E+000, 0.0000000E+000, 8.4064428E-005, 5.7305484E+001, 8.4064428E-005, 1.8671567E-002
 9.0077829E+000, 5.7324488E+001, 4.3672257E+001, 1.3226325E+001, 3.7901934E-002, 3.8772956E-001, 2.3479052E-005, 7.2521096E-005, 0.0000000E+000, 0.0000000E+000, 1.7862865E-004, 5.7303019E+001, 1.7862865E-004, 2.1290714E-002
