,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-08-08T12:10:48.744+02:00, 0.500E-01,   0.04999, 0.62500E+01
       2,2026-08-08T12:10:49.251+02:00, 0.500E-01,   0.09999, 0.67344E+01
       3,2026-08-08T12:10:49.862+02:00, 0.500E-01,   0.14998, 0.73594E+01
       4,2026-08-08T12:10:50.267+02:00, 0.500E-01,   0.19997, 0.77656E+01
       5,2026-08-08T12:10:50.791+02:00, 0.500E-01,   0.24997, 0.82812E+01
       6,2026-08-08T12:10:51.490+02:00, 0.500E-01,   0.29996, 0.89844E+01
       7,2026-08-08T12:10:51.999+02:00, 0.500E-01,   0.34995, 0.94844E+01
       8,2026-08-08T12:10:52.474+02:00, 0.500E-01,   0.39994, 0.99688E+01
       9,2026-08-08T12:10:53.187+02:00, 0.500E-01,   0.44994, 0.10672E+02
      10,2026-08-08T12:10:53.763+02:00, 0.500E-01,   0.49993, 0.11250E+02
      20,2026-08-08T12:10:58.934+02:00, 0.228E-02,   0.93011, 0.16375E+02
      30,2026-08-08T12:11:03.687+02:00, 0.592E-02,   0.97015, 0.21094E+02
      40,2026-08-08T12:11:08.565+02:00, 0.154E-01,   1.07398, 0.25969E+02
      50,2026-08-08T12:11:14.122+02:00, 0.174E-01,   1.28410, 0.31500E+02
      60,2026-08-08T12:11:19.529+02:00, 0.131E-01,   1.43047, 0.36859E+02
      70,2026-08-08T12:11:24.244+02:00, 0.131E-01,   1.56156, 0.41578E+02
      80,2026-08-08T12:11:28.862+02:00, 0.131E-01,   1.69266, 0.46141E+02
      90,2026-08-08T12:11:33.734+02:00, 0.131E-01,   1.82376, 0.51000E+02
     100,2026-08-08T12:11:38.537+02:00, 0.144E-01,   1.96273, 0.55734E+02
     200,2026-08-08T12:12:26.645+02:00, 0.117E-01,   3.08117, 0.10375E+03
     300,2026-08-08T12:13:15.062+02:00, 0.125E-01,   4.38020, 0.15184E+03
     400,2026-08-08T12:14:03.333+02:00, 0.128E-01,   5.67053, 0.19977E+03
     500,2026-08-08T12:14:54.100+02:00, 0.117E-01,   6.83020, 0.24928E+03
     600,2026-08-08T12:15:49.205+02:00, 0.131E-01,   8.03269, 0.30309E+03
     700,2026-08-08T12:16:39.733+02:00, 0.108E-01,   9.16704, 0.35259E+03
     800,2026-08-08T12:17:30.078+02:00, 0.115E-01,  10.39278, 0.40225E+03
     900,2026-08-08T12:18:20.725+02:00, 0.138E-01,  11.77100, 0.45219E+03
    1000,2026-08-08T12:19:11.468+02:00, 0.134E-01,  13.16077, 0.50209E+03
