s,C,C,1/m,1/m
Time,TC_Ceiling_F1,TC_F1_1_8,EXT_F1_1_8,EXT_DEVC_F1_2_3
 0.0000000E+000, 1.2100000E+001, 1.2100000E+001, 0.0000000E+000, 0.0000000E+000
 1.0003843E+000, 1.2100082E+001, 1.2100105E+001, 0.0000000E+000, 0.0000000E+000
 2.0059884E+000, 1.2101104E+001, 1.2102288E+001, 9.9553410E-187, 7.9439834E-184
 3.0110717E+000, 1.2278355E+001, 1.2110908E+001, 3.7991890E-133, 6.9178739E-108
 4.0050477E+000, 1.7724044E+001, 1.2121042E+001, 8.8125626E-114, 3.6264982E-065
 5.0004409E+000, 2.1345856E+001, 1.2131699E+001, 1.2259695E-075, 2.6942171E-034
 6.0036410E+000, 2.4501066E+001, 1.2143418E+001, 4.5514904E-050, 2.2458499E-018
 7.0106667E+000, 2.6684690E+001, 1.2158528E+001, 1.6158724E-031, 2.2042813E-007
 8.0064268E+000, 3.0151997E+001, 1.2177745E+001, 4.8026284E-023, 1.2886538E-006
 9.0077833E+000, 3.0969225E+001, 1.2197049E+001, 1.9993755E-020, 1.9503573E-006
 1.0003419E+001, 3.2101734E+001, 1.2219637E+001, 4.1691715E-019, 3.5173632E-006
 1.1010023E+001, 3.3489176E+001, 1.2243711E+001, 6.9158449E-018, 5.8528047E-006
 1.2005125E+001, 3.4530762E+001, 1.2265968E+001, 4.4484308E-011, 9.1976319E-006
 1.3013291E+001, 3.4676571E+001, 1.2298242E+001, 1.4140321E-002, 1.1956430E-005
 1.4002902E+001, 3.4629847E+001, 1.2600380E+001, 9.6556722E-002, 3.3146061E-005
 1.5011511E+001, 3.4873609E+001, 1.3051286E+001, 9.4764018E-002, 5.8039787E-004
 1.6007105E+001, 3.5932274E+001, 1.3339108E+001, 5.5333695E-002, 9.2685438E-002
 1.7006567E+001, 3.7205235E+001, 1.3467742E+001, 5.5801487E-002, 1.0932239E-001
 1.8009363E+001, 3.7615447E+001, 1.3639060E+001, 7.0277149E-002, 1.0341928E-001
 1.9001561E+001, 3.8564991E+001, 1.3883880E+001, 9.3204502E-002, 1.2321275E-001
 2.0007035E+001, 3.9397330E+001, 1.4180217E+001, 9.1683043E-002, 1.0660228E-001
 2.1008878E+001, 3.9304178E+001, 1.4315192E+001, 5.5624894E-002, 1.2049155E-001
 2.2009552E+001, 4.0828124E+001, 1.4298688E+001, 3.0848615E-002, 1.2077404E-001
 2.3008776E+001, 4.2450619E+001, 1.4197529E+001, 1.6370538E-002, 1.2761120E-001
 2.4006592E+001, 4.4127439E+001, 1.4103368E+001, 1.4073822E-002, 1.2827902E-001
 2.5004407E+001, 4.4826834E+001, 1.4013803E+001, 9.7660806E-003, 1.4312991E-001
 2.6008988E+001, 4.6869271E+001, 1.3931831E+001, 8.5848930E-003, 1.5785975E-001
 2.7009770E+001, 4.7172589E+001, 1.3882045E+001, 1.9546289E-002, 1.5520333E-001
 2.8007123E+001, 4.8520527E+001, 1.4043890E+001, 9.1765038E-002, 2.0345913E-001
 2.9003592E+001, 5.1160087E+001, 1.4287634E+001, 5.6175267E-002, 1.9736793E-001
 3.0008276E+001, 5.2673674E+001, 1.4337178E+001, 3.3514712E-002, 2.0808368E-001
 3.1000729E+001, 5.3733694E+001, 1.4322394E+001, 1.9582006E-002, 2.0054328E-001
 3.2009090E+001, 5.5105864E+001, 1.4345703E+001, 7.1494738E-002, 2.2164340E-001
 3.3006553E+001, 5.5131502E+001, 1.4901040E+001, 1.6296740E-001, 2.4436516E-001
 3.4009064E+001, 5.5170494E+001, 1.5385451E+001, 1.0258830E-001, 2.8019494E-001
 3.5002245E+001, 5.4317287E+001, 1.5447858E+001, 5.7977662E-002, 2.8784002E-001
 3.6010087E+001, 5.4459526E+001, 1.5449890E+001, 5.8101541E-002, 2.9245899E-001
 3.7005185E+001, 5.3853579E+001, 1.5507639E+001, 1.0499120E-001, 2.9464946E-001
 3.8003425E+001, 5.2734642E+001, 1.5876494E+001, 1.6617177E-001, 3.0051658E-001
 3.9003710E+001, 5.2888404E+001, 1.6395614E+001, 1.7894708E-001, 3.0970324E-001
 4.0004020E+001, 5.3232941E+001, 1.6662978E+001, 1.3423748E-001, 3.0898329E-001
 4.1009365E+001, 5.3994637E+001, 1.6824185E+001, 1.3916965E-001, 3.2418196E-001
 4.2009854E+001, 5.4462835E+001, 1.7375444E+001, 2.9388992E-001, 3.2780798E-001
 4.3008030E+001, 5.4816527E+001, 1.8480758E+001, 3.4859266E-001, 3.3256689E-001
 4.4006470E+001, 5.5264640E+001, 1.9488689E+001, 3.6686710E-001, 3.4649175E-001
 4.5007055E+001, 5.5480480E+001, 2.0193522E+001, 3.0760714E-001, 3.4973387E-001
 4.6008628E+001, 5.5694522E+001, 2.0495959E+001, 2.9177202E-001, 3.5482576E-001
 4.7001086E+001, 5.7076509E+001, 2.0798481E+001, 2.6468252E-001, 3.6446119E-001
 4.8007583E+001, 5.6800560E+001, 2.0887123E+001, 2.5318041E-001, 3.5707454E-001
 4.9006012E+001, 5.7718486E+001, 2.0763442E+001, 1.5374218E-001, 3.6010286E-001
 5.0012108E+001, 5.7378986E+001, 2.0475542E+001, 1.8077509E-001, 3.7529227E-001
 5.1006446E+001, 5.5794819E+001, 2.0724167E+001, 3.6343192E-001, 3.8528389E-001
 5.2001267E+001, 5.4529237E+001, 2.1647481E+001, 4.4343095E-001, 3.8003139E-001
 5.3007350E+001, 5.4886634E+001, 2.2731592E+001, 4.2066082E-001, 4.1151369E-001
 5.4003777E+001, 5.3639570E+001, 2.3211375E+001, 3.8847397E-001, 4.1158978E-001
 5.5005992E+001, 5.3315568E+001, 2.3539847E+001, 3.8111580E-001, 4.2215953E-001
 5.6009110E+001, 5.2884781E+001, 2.4027603E+001, 4.4812244E-001, 4.4079845E-001
 5.7001146E+001, 5.3964893E+001, 2.4612206E+001, 4.4857749E-001, 4.3630205E-001
 5.8006380E+001, 5.5465141E+001, 2.5091406E+001, 4.7434875E-001, 4.4593202E-001
 5.9004155E+001, 5.7576316E+001, 2.5621438E+001, 4.8505722E-001, 4.4396499E-001
 6.0008106E+001, 5.6897981E+001, 2.6140813E+001, 4.8930215E-001, 4.5384720E-001
 6.1007615E+001, 5.5131971E+001, 2.6583317E+001, 4.7706251E-001, 4.5072884E-001
 6.2002982E+001, 5.5568133E+001, 2.6885231E+001, 4.8258752E-001, 4.6615282E-001
 6.3007279E+001, 5.5034492E+001, 2.7241487E+001, 4.9932280E-001, 4.5875626E-001
 6.4003242E+001, 5.5569683E+001, 2.7557774E+001, 5.0141735E-001, 4.7360275E-001
 6.5001747E+001, 5.5370269E+001, 2.7777869E+001, 4.9657129E-001, 4.9181541E-001
 6.6005316E+001, 5.5854611E+001, 2.7961192E+001, 5.0909503E-001, 4.8124778E-001
 6.7007979E+001, 5.6194648E+001, 2.8143576E+001, 5.1452236E-001, 4.9822832E-001
 6.8006129E+001, 5.5629303E+001, 2.8279620E+001, 5.2164805E-001, 5.0207031E-001
 6.9004455E+001, 5.5252134E+001, 2.8427516E+001, 5.2870866E-001, 5.0649588E-001
 7.0002594E+001, 5.4752155E+001, 2.8543118E+001, 5.0939622E-001, 4.9002072E-001
 7.1007688E+001, 5.4516461E+001, 2.8615821E+001, 5.2400378E-001, 4.9475219E-001
 7.2004971E+001, 5.3724226E+001, 2.8716981E+001, 5.2194196E-001, 5.0363997E-001
 7.3004833E+001, 5.3429084E+001, 2.8760625E+001, 5.2609645E-001, 5.1668002E-001
 7.4000723E+001, 5.3091941E+001, 2.8930624E+001, 5.6278746E-001, 5.3377881E-001
 7.5004962E+001, 5.2799673E+001, 2.9259366E+001, 5.6673605E-001, 5.2792919E-001
 7.6008418E+001, 5.5156647E+001, 2.9343331E+001, 5.6701603E-001, 5.3147351E-001
 7.7007217E+001, 5.5936911E+001, 2.9452493E+001, 5.7150051E-001, 5.4071418E-001
 7.8000015E+001, 5.5428564E+001, 2.9693248E+001, 5.7151215E-001, 5.5754924E-001
 7.9001834E+001, 5.4634750E+001, 2.9850475E+001, 5.7075259E-001, 5.6299900E-001
 8.0008951E+001, 5.7450914E+001, 2.9976532E+001, 5.8125712E-001, 5.6086352E-001
 8.1003325E+001, 5.9187217E+001, 3.0230157E+001, 5.8503033E-001, 5.6464472E-001
 8.2007845E+001, 5.8377951E+001, 3.0448393E+001, 5.8328017E-001, 5.7483653E-001
 8.3000013E+001, 5.6297573E+001, 3.0588088E+001, 5.8833035E-001, 5.8055011E-001
 8.4005223E+001, 5.4809024E+001, 3.0636572E+001, 5.8646138E-001, 5.9071574E-001
 8.5009689E+001, 5.5772664E+001, 3.0634042E+001, 5.9544829E-001, 5.8043895E-001
 8.6003872E+001, 5.7391139E+001, 3.0807378E+001, 6.0783349E-001, 5.8672037E-001
 8.7008464E+001, 5.6551205E+001, 3.0886042E+001, 6.0475257E-001, 6.0390844E-001
 8.8002817E+001, 5.4790806E+001, 3.1028853E+001, 6.1595329E-001, 6.1163905E-001
 8.9003373E+001, 5.5296767E+001, 3.1143620E+001, 6.2419762E-001, 6.1524428E-001
 9.0007415E+001, 5.5722216E+001, 3.1158860E+001, 6.2941487E-001, 6.1318436E-001
 9.1008898E+001, 5.5493288E+001, 3.1214613E+001, 6.2582172E-001, 6.1290969E-001
 9.2008545E+001, 5.4987695E+001, 3.1257864E+001, 6.0646136E-001, 6.0970270E-001
 9.3000759E+001, 5.5678007E+001, 3.1163882E+001, 5.9130385E-001, 6.1239175E-001
 9.4008456E+001, 5.7136445E+001, 3.0951068E+001, 5.8723170E-001, 6.2784404E-001
 9.5003834E+001, 5.7814867E+001, 3.0834546E+001, 6.1306855E-001, 6.3164132E-001
 9.6004786E+001, 5.7178049E+001, 3.0968393E+001, 6.3774551E-001, 6.3378824E-001
 9.7005244E+001, 5.7354225E+001, 3.1253923E+001, 6.3409132E-001, 6.3612898E-001
 9.8000860E+001, 5.7699936E+001, 3.1317983E+001, 5.9822969E-001, 6.3504041E-001
 9.9001012E+001, 5.8932804E+001, 3.1290336E+001, 6.1620774E-001, 6.2563334E-001
 1.0000963E+002, 5.8768186E+001, 3.1472518E+001, 6.6347790E-001, 6.3930819E-001
 1.0100858E+002, 5.9258822E+001, 3.1777229E+001, 6.7343237E-001, 6.3944510E-001
 1.0200309E+002, 5.9854531E+001, 3.2042722E+001, 6.6686803E-001, 6.4250315E-001
 1.0300208E+002, 6.2966830E+001, 3.2175286E+001, 6.6932282E-001, 6.4480590E-001
 1.0400332E+002, 6.3976983E+001, 3.2333704E+001, 6.8331579E-001, 6.5024165E-001
 1.0500796E+002, 6.6631056E+001, 3.2425488E+001, 6.7683266E-001, 6.5715654E-001
 1.0600647E+002, 6.8433376E+001, 3.2370483E+001, 6.7234544E-001, 6.6475791E-001
 1.0700076E+002, 6.7714799E+001, 3.2376660E+001, 6.6888617E-001, 6.6398071E-001
 1.0801186E+002, 6.6885842E+001, 3.2389634E+001, 6.9233459E-001, 6.7315351E-001
 1.0900565E+002, 6.5184045E+001, 3.2618295E+001, 7.0627136E-001, 6.7228876E-001
 1.1000878E+002, 6.4757835E+001, 3.2857459E+001, 7.1915425E-001, 6.7506607E-001
 1.1101022E+002, 6.4018117E+001, 3.3234444E+001, 7.4129638E-001, 6.9871121E-001
 1.1200657E+002, 6.2487759E+001, 3.3580109E+001, 7.4601950E-001, 7.0354755E-001
 1.1300763E+002, 6.1539129E+001, 3.3888622E+001, 7.4992714E-001, 7.1635811E-001
 1.1400709E+002, 6.2024663E+001, 3.4202437E+001, 7.6830485E-001, 7.1612021E-001
 1.1500993E+002, 6.1997544E+001, 3.4385127E+001, 7.6664362E-001, 7.2510274E-001
 1.1600965E+002, 6.2671897E+001, 3.4345840E+001, 7.6670384E-001, 7.2838373E-001
 1.1700774E+002, 6.2315339E+001, 3.4364170E+001, 7.7495853E-001, 7.2606384E-001
 1.1800849E+002, 6.2530597E+001, 3.4439163E+001, 7.6852083E-001, 7.1739990E-001
 1.1900184E+002, 6.1433522E+001, 3.4259135E+001, 7.4444570E-001, 7.1789020E-001
 1.2001002E+002, 5.9294700E+001, 3.4112198E+001, 7.5568019E-001, 7.3526276E-001
 1.2100200E+002, 5.8211451E+001, 3.4098610E+001, 7.7686186E-001, 7.3728593E-001
 1.2200924E+002, 6.0096837E+001, 3.4184019E+001, 7.7724884E-001, 7.4918505E-001
 1.2300712E+002, 6.2047078E+001, 3.4300682E+001, 7.7789278E-001, 7.4883340E-001
 1.2400057E+002, 6.2744830E+001, 3.4247210E+001, 7.7601817E-001, 7.5727892E-001
 1.2500741E+002, 6.3345652E+001, 3.4089150E+001, 7.6762262E-001, 7.6422966E-001
 1.2600732E+002, 6.3427371E+001, 3.3969446E+001, 7.8192356E-001, 7.7050148E-001
 1.2700349E+002, 6.2870473E+001, 3.3884550E+001, 7.8021735E-001, 7.7874252E-001
 1.2800451E+002, 6.2912395E+001, 3.3897976E+001, 7.7983841E-001, 7.7828288E-001
 1.2900509E+002, 6.3914442E+001, 3.4126091E+001, 7.9840524E-001, 7.8577700E-001
 1.3000567E+002, 6.5946003E+001, 3.4433009E+001, 8.0989053E-001, 7.8626765E-001
 1.3100676E+002, 6.7472700E+001, 3.4665201E+001, 8.1753414E-001, 7.6412942E-001
 1.3200258E+002, 6.6934043E+001, 3.4861939E+001, 8.2869480E-001, 7.6931347E-001
 1.3300141E+002, 6.6067264E+001, 3.4988912E+001, 8.2634330E-001, 7.8239817E-001
 1.3400843E+002, 6.5150131E+001, 3.5084617E+001, 8.3726286E-001, 7.8496799E-001
