s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_HEPTAN_SURROGATE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2221963E-002, 7.8654236E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2221955E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0089240E-001
 1.0003843E+000, 2.2534031E+000, 0.0000000E+000,-1.0834331E+000,-6.8300448E-004,-1.0392897E-001, 0.0000000E+000, 4.0821101E-001, 0.0000000E+000, 1.3547739E+000, 1.4735691E+000, 0.0000000E+000, 1.5837844E-004, 0.0000000E+000, 7.8386567E+000
 2.0059884E+000, 5.1803673E+000, 0.0000000E+000,-2.0124255E+000, 3.0129691E-005,-1.5357325E-001, 0.0000000E+000, 1.1835307E+000, 0.0000000E+000, 4.1269356E+000, 4.1979294E+000, 0.0000000E+000, 1.4956575E-004, 0.0000000E+000, 3.2510408E+001
 3.0110717E+000, 8.2559787E+000, 0.0000000E+000,-2.8572394E+000,-1.0969827E-005,-2.3217442E-001, 0.0000000E+000, 2.0962210E+000, 0.0000000E+000, 7.3071070E+000, 7.2627749E+000, 0.0000000E+000, 1.4774159E-004, 0.0000000E+000, 7.6784716E+001
 4.0050478E+000, 6.6475625E+000, 0.0000000E+000,-2.0200932E+000,-1.2775119E-005,-4.2413155E-001, 0.0000000E+000, 1.6925304E+000, 0.0000000E+000, 5.8803881E+000, 5.8958554E+000, 0.0000000E+000, 1.5263632E-004, 0.0000000E+000, 1.1194796E+002
 5.0004411E+000, 6.2903864E+000, 0.0000000E+000,-2.1673621E+000,-1.5692498E-005,-4.9845518E-001, 0.0000000E+000, 1.4856782E+000, 0.0000000E+000, 5.1858318E+000, 5.1102316E+000, 0.0000000E+000, 1.6691550E-004, 0.0000000E+000, 1.4308558E+002
 6.0036411E+000, 6.9385805E+000, 0.0000000E+000,-2.0498484E+000,-6.3468314E-005,-6.3494837E-001, 0.0000000E+000, 1.7141809E+000, 0.0000000E+000, 5.9592694E+000, 5.9679012E+000, 0.0000000E+000, 1.9036935E-004, 0.0000000E+000, 1.7898021E+002
 7.0106668E+000, 9.4316192E+000, 0.0000000E+000,-3.0341282E+000,-1.9068858E-005,-7.4301295E-001, 0.0000000E+000, 2.3136551E+000, 0.0000000E+000, 8.0576544E+000, 7.9681140E+000, 0.0000000E+000, 2.1893092E-004, 0.0000000E+000, 2.2801247E+002
 8.0064268E+000, 6.9347940E+000, 0.0000000E+000,-2.1389519E+000, 8.2848125E-005,-9.2459605E-001, 0.0000000E+000, 1.6110769E+000, 0.0000000E+000, 5.5708336E+000, 5.4824058E+000, 0.0000000E+000, 2.5223455E-004, 0.0000000E+000, 2.6176941E+002
 9.0077829E+000, 7.4494133E+000, 0.0000000E+000,-2.4399064E+000,-1.3248778E-004,-9.3655146E-001, 0.0000000E+000, 1.6686148E+000, 0.0000000E+000, 5.7757838E+000, 5.7414378E+000, 0.0000000E+000, 2.7661067E-004, 0.0000000E+000, 2.9678109E+002
 1.0003419E+001, 6.9639133E+000, 0.0000000E+000,-2.2727732E+000,-1.8646205E-004,-1.0089348E+000, 0.0000000E+000, 1.5053228E+000, 0.0000000E+000, 5.1905486E+000, 5.1873417E+000, 0.0000000E+000, 2.9266989E-004, 0.0000000E+000, 3.2810502E+002
 1.1010023E+001, 4.5420367E+000, 0.0000000E+000,-1.3685327E+000,-4.1120979E-005,-1.0244106E+000, 0.0000000E+000, 9.1338468E-001, 0.0000000E+000, 3.1288009E+000, 3.0624370E+000, 0.0000000E+000, 2.9675888E-004, 0.0000000E+000, 3.4751304E+002
 1.2005125E+001, 5.0157269E+000, 0.0000000E+000,-1.6345817E+000,-5.4141660E-005,-1.0535869E+000, 0.0000000E+000, 9.5634052E-001, 0.0000000E+000, 3.2893300E+000, 3.2838447E+000, 0.0000000E+000, 2.8947328E-004, 0.0000000E+000, 3.6740146E+002
 1.3013291E+001, 5.7705899E+000, 0.0000000E+000,-1.8146483E+000,-8.2203121E-005,-9.8882641E-001, 0.0000000E+000, 1.2093260E+000, 0.0000000E+000, 4.1883338E+000, 4.1763590E+000, 0.0000000E+000, 2.8341621E-004, 0.0000000E+000, 3.9292991E+002
 1.4002901E+001, 9.1623191E+000, 0.0000000E+000,-2.8042189E+000, 8.8185414E-005,-9.7382152E-001, 0.0000000E+000, 2.1755463E+000, 0.0000000E+000, 7.5618845E+000, 7.5599131E+000, 0.0000000E+000, 2.7850992E-004, 0.0000000E+000, 4.3806160E+002
 1.5011511E+001, 1.0004148E+001, 0.0000000E+000,-3.0223515E+000, 3.7317213E-005,-9.9715372E-001, 0.0000000E+000, 2.4224613E+000, 0.0000000E+000, 8.4180299E+000, 8.4071419E+000, 0.0000000E+000, 2.8111281E-004, 0.0000000E+000, 4.8930935E+002
 1.6007105E+001, 1.0595029E+001, 0.0000000E+000,-3.1612670E+000, 3.3321107E-005,-1.1279796E+000, 0.0000000E+000, 2.5531884E+000, 0.0000000E+000, 8.8813476E+000, 8.8590042E+000, 0.0000000E+000, 2.9089514E-004, 0.0000000E+000, 5.4264015E+002
